participant,session,total_score,answers_count,avg_distance_km,total_distance_km,best_category,worst_category,has_pre,has_post
M55,1,370,5,3165,15827,production,dechets,True,False
M40,1,1522,8,1606,12849,datacenter,dechets,True,False
M48,1,895,7,3403,23819,production,dechets,True,True
M18,1,1458,5,3124,15622,production,datacenter,True,False
M02,1,45,1,1546,1546,dechets,dechets,True,False
M04,1,215,7,8990,62930,dechets,production,True,True
M46,1,278,7,3184,22287,datacenter,dechets,True,True
M47,1,1680,8,2814,22509,production,dechets,True,True
M53,1,371,5,2769,13846,production,datacenter,True,True
M35,1,141,2,1337,2673,dechets,datacenter,True,False
M19,1,371,8,4093,32741,production,datacenter,True,True
M07,1,210,1,780,780,datacenter,datacenter,True,False
M16,1,1780,8,2005,16037,production,dechets,True,True
M32,1,0,0,0,0,,,False,False
M22,1,859,6,1716,10298,datacenter,dechets,True,True
M45,1,0,0,0,0,,,False,False
M05,1,652,6,1390,8340,extraction,dechets,True,True
M57,1,949,4,1069,4274,extraction,dechets,True,True
M24,2,523,7,3155,22087,datacenter,extraction,True,True
M35,2,697,7,4818,33726,datacenter,extraction,True,True
M11,2,194,8,3629,29028,datacenter,extraction,True,True
M09,2,628,8,4470,35761,datacenter,extraction,True,True
M42,2,423,8,4727,37818,datacenter,production,True,True
M28,2,106,8,3461,27684,production,extraction,True,True
M39,2,462,8,3285,26282,production,extraction,True,True
M31,2,5,2,3833,7665,dechets,dechets,True,False
M20,2,0,0,0,0,,,False,False
M56,2,372,8,4671,37369,datacenter,production,True,True
M51,2,16,2,5321,10641,dechets,dechets,True,False
M23,2,0,2,4464,8928,dechets,dechets,True,False
M33,2,580,6,2680,16078,datacenter,extraction,True,True
M36,2,651,8,2897,23177,datacenter,extraction,True,True
M01,2,665,8,4232,33857,datacenter,production,True,True
M54,2,540,8,2758,22060,production,extraction,True,False
M08,3,488,3,984,2951,extraction,dechets,True,False
M12,3,161,4,1716,6863,datacenter,production,True,True
M21,3,661,8,3037,24295,production,datacenter,True,False
M15,3,898,4,2920,11681,production,extraction,True,True
M34,3,0,0,0,0,,,True,False
M13,3,848,3,1216,3648,datacenter,dechets,True,False
M41,3,840,7,1899,13296,production,extraction,True,True
M52,3,94,1,1180,1180,extraction,extraction,True,False
M38,3,659,6,1648,9886,production,extraction,True,True
M29,3,111,4,2938,11751,extraction,dechets,True,False
M14,3,720,8,2234,17868,production,extraction,True,True
M27,3,1533,8,1282,10255,datacenter,extraction,True,True
M49,3,738,4,1853,7413,extraction,dechets,True,False
M17,3,1328,7,1445,10113,production,dechets,True,False
M58,3,0,0,0,0,,,False,False
M10,4,180,5,3985,19924,production,dechets,True,False
M03,4,176,5,4399,21993,production,dechets,True,True
M44,4,958,4,5239,20957,production,extraction,True,True
M43,4,59,1,1411,1411,production,production,True,False
M37,4,123,5,5851,29255,datacenter,dechets,True,False
M26,4,454,5,4199,20996,production,dechets,True,True
M50,4,80,3,5574,16722,datacenter,extraction,True,False
M25,4,2,2,7767,15534,extraction,production,True,False
M30,4,337,2,1117,2233,production,datacenter,True,False
M06,4,60,1,1409,1409,production,production,True,False
